dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path,source,op,shape,cycles,cycles_n,cycles_cv_pct,implementation
0,vitfly_lstm$dispatch_0_rvv_x60_conv2d_s8_N1xIC1xIH60xIW90xOC4xOH20xOW30xKH5xKW5xSH3xSW3xPH1xPW1,,,0.219583,ms,219583.333333,0,,k1,conv2d_s8,N=1;IC=1;IH=60;IW=90;OC=4;OH=20;OW=30;KH=5;KW=5;SH=3;SW=3;PH=1;PW=1,5270,1,,curated[rvv]/rvv_vsmul_vnclip
1,vitfly_lstm$dispatch_1_rvv_x60_batchnorm2d_s8_N1xC4xH20xW30,,,0.011792,ms,11791.666667,0,,k1,batchnorm2d_s8,N=1;C=4;H=20;W=30,283,1,,curated[rvv]/direct
2,vitfly_lstm$dispatch_2_rvv_x60_maxpool2d_s8_N1xC4xIH20xIW30xOH18xOW28xKH3xKW3xSH1xSW1xPH0xPW0xDH1xDW1,,,0.010792,ms,10791.666667,0,,k1,maxpool2d_s8,N=1;C=4;IH=20;IW=30;OH=18;OW=28;KH=3;KW=3;SH=1;SW=1;PH=0;PW=0;DH=1;DW=1,259,1,,curated[rvv]/direct
3,vitfly_lstm$dispatch_3_rvv_x60_conv2d_s8_N1xIC4xIH18xIW28xOC10xOH8xOW13xKH3xKW3xSH2xSW2xPH0xPW0,,,0.059500,ms,59500.000000,0,,k1,conv2d_s8,N=1;IC=4;IH=18;IW=28;OC=10;OH=8;OW=13;KH=3;KW=3;SH=2;SW=2;PH=0;PW=0,1428,1,,curated[rvv]/rvv_vsmul_vnclip
4,vitfly_lstm$dispatch_4_rvv_x60_batchnorm2d_s8_N1xC10xH8xW13,,,0.002542,ms,2541.666667,0,,k1,batchnorm2d_s8,N=1;C=10;H=8;W=13,61,1,,curated[rvv]/direct
5,vitfly_lstm$dispatch_5_rvv_x60_avgpool2d_s8_N1xC10xIH8xIW13xOH6xOW11xKH3xKW3xSH1xSW1xPH0xPW0xcount_include_pad1,,,0.012667,ms,12666.666667,0,,k1,avgpool2d_s8,N=1;C=10;IH=8;IW=13;OH=6;OW=11;KH=3;KW=3;SH=1;SW=1;PH=0;PW=0;count_include_pad=1,304,1,,curated[rvv]/rvv_ow_lanes
6,vitfly_lstm$dispatch_6_rvv_x60_lstm_s8_input_size660xhidden_size395,,,5.532250,ms,5532250.000000,0,,k1,lstm_s8,input_size=660;hidden_size=395,132774,1,,curated[rvv]/rvv_gate_int_dot
7,vitfly_lstm$dispatch_7_rvv_x60_lstm_s8_input_size395xhidden_size395,,,3.708417,ms,3708416.666667,0,,k1,lstm_s8,input_size=395;hidden_size=395,89002,1,,curated[rvv]/rvv_gate_int_dot
8,vitfly_lstm$dispatch_8_rvv_x60_linear_s8_M1xK395xN64,,,0.013292,ms,13291.666667,0,,k1,linear_s8,M=1;K=395;N=64,319,1,,curated[rvv]/direct
9,vitfly_lstm$dispatch_9_rvv_x60_leaky_relu_s8_n64,,,0.000708,ms,708.333333,0,,k1,leaky_relu_s8,n=64,17,1,,curated[rvv]/rvv_frm_rmm
10,vitfly_lstm$dispatch_10_rvv_x60_linear_s8_M1xK64xN16,,,0.001875,ms,1875.000000,0,,k1,linear_s8,M=1;K=64;N=16,45,1,,curated[rvv]/direct
11,vitfly_lstm$dispatch_11_rvv_x60_leaky_relu_s8_n16,,,0.000208,ms,208.333333,0,,k1,leaky_relu_s8,n=16,5,1,,curated[rvv]/rvv_frm_rmm
12,vitfly_lstm$dispatch_12_rvv_x60_linear_s8_M1xK16xN3,,,0.000792,ms,791.666667,0,,k1,linear_s8,M=1;K=16;N=3,19,1,,curated[rvv]/direct
